horizon,group,paper_id,attempt,max_chunks,validation_retries,exit_code,merged,error,started_at,completed_at,report_folder,log_file
short,7,7_6,1,8,3,0,True,,2026-07-22T18:57:06.007241+00:00,2026-07-22T18:58:11.806050+00:00,/data/rchu/PaperPacket/project_storage/Ordracir_2_2/data/formal_outputs/2_2_version_228/reports/recovery/short/7/7_6/attempt_1,/data/rchu/PaperPacket/project_storage/Ordracir_2_2/data/formal_outputs/2_2_version_228/logs/recovery/short/7/7_6/attempt_1.log
short,8,8_1,1,8,3,0,True,,2026-07-22T18:57:10.755884+00:00,2026-07-22T18:57:49.047793+00:00,/data/rchu/PaperPacket/project_storage/Ordracir_2_2/data/formal_outputs/2_2_version_228/reports/recovery/short/8/8_1/attempt_1,/data/rchu/PaperPacket/project_storage/Ordracir_2_2/data/formal_outputs/2_2_version_228/logs/recovery/short/8/8_1/attempt_1.log
short,8,8_6,1,8,3,1,False,CLI exit=1; expected_output=False,2026-07-22T18:57:46.997003+00:00,2026-07-22T18:59:16.728065+00:00,/data/rchu/PaperPacket/project_storage/Ordracir_2_2/data/formal_outputs/2_2_version_228/reports/recovery/short/8/8_6/attempt_1,/data/rchu/PaperPacket/project_storage/Ordracir_2_2/data/formal_outputs/2_2_version_228/logs/recovery/short/8/8_6/attempt_1.log
short,8,8_6,2,8,3,1,False,CLI exit=1; expected_output=False,2026-07-22T19:08:14.410947+00:00,2026-07-22T19:09:17.843158+00:00,/data/rchu/PaperPacket/project_storage/Ordracir_2_2/data/formal_outputs/2_2_version_228/reports/recovery/short/8/8_6/attempt_2,/data/rchu/PaperPacket/project_storage/Ordracir_2_2/data/formal_outputs/2_2_version_228/logs/recovery/short/8/8_6/attempt_2.log
short,8,8_6,3,8,3,0,True,,2026-07-22T19:13:35.768817+00:00,2026-07-22T19:14:12.448207+00:00,/data/rchu/PaperPacket/project_storage/Ordracir_2_2/data/formal_outputs/2_2_version_228/reports/recovery/short/8/8_6/attempt_3,/data/rchu/PaperPacket/project_storage/Ordracir_2_2/data/formal_outputs/2_2_version_228/logs/recovery/short/8/8_6/attempt_3.log
short,9,9_2,1,8,3,1,False,CLI exit=1; expected_output=False,2026-07-22T18:57:49.052985+00:00,2026-07-22T19:04:46.410656+00:00,/data/rchu/PaperPacket/project_storage/Ordracir_2_2/data/formal_outputs/2_2_version_228/reports/recovery/short/9/9_2/attempt_1,/data/rchu/PaperPacket/project_storage/Ordracir_2_2/data/formal_outputs/2_2_version_228/logs/recovery/short/9/9_2/attempt_1.log
short,9,9_2,2,8,3,1,False,CLI exit=1; expected_output=False,2026-07-22T19:08:17.552635+00:00,2026-07-22T19:10:46.518410+00:00,/data/rchu/PaperPacket/project_storage/Ordracir_2_2/data/formal_outputs/2_2_version_228/reports/recovery/short/9/9_2/attempt_2,/data/rchu/PaperPacket/project_storage/Ordracir_2_2/data/formal_outputs/2_2_version_228/logs/recovery/short/9/9_2/attempt_2.log
short,9,9_2,3,8,3,1,False,CLI exit=1; expected_output=False,2026-07-22T19:13:35.747359+00:00,2026-07-22T19:22:51.830041+00:00,/data/rchu/PaperPacket/project_storage/Ordracir_2_2/data/formal_outputs/2_2_version_228/reports/recovery/short/9/9_2/attempt_3,/data/rchu/PaperPacket/project_storage/Ordracir_2_2/data/formal_outputs/2_2_version_228/logs/recovery/short/9/9_2/attempt_3.log
short,9,9_2,4,8,0,0,True,,2026-07-22T19:23:44.673174+00:00,2026-07-22T19:26:24.560890+00:00,/data/rchu/PaperPacket/project_storage/Ordracir_2_2/data/formal_outputs/2_2_version_228/reports/recovery/short/9/9_2/attempt_4,
short,9,9_4,1,8,3,1,False,CLI exit=1; expected_output=False,2026-07-22T18:58:11.810331+00:00,2026-07-22T19:00:04.994926+00:00,/data/rchu/PaperPacket/project_storage/Ordracir_2_2/data/formal_outputs/2_2_version_228/reports/recovery/short/9/9_4/attempt_1,/data/rchu/PaperPacket/project_storage/Ordracir_2_2/data/formal_outputs/2_2_version_228/logs/recovery/short/9/9_4/attempt_1.log
short,9,9_4,2,8,3,0,True,,2026-07-22T19:08:33.867029+00:00,2026-07-22T19:09:32.401457+00:00,/data/rchu/PaperPacket/project_storage/Ordracir_2_2/data/formal_outputs/2_2_version_228/reports/recovery/short/9/9_4/attempt_2,/data/rchu/PaperPacket/project_storage/Ordracir_2_2/data/formal_outputs/2_2_version_228/logs/recovery/short/9/9_4/attempt_2.log
short,9,9_5,1,8,3,0,True,,2026-07-22T18:58:37.937816+00:00,2026-07-22T19:01:15.139761+00:00,/data/rchu/PaperPacket/project_storage/Ordracir_2_2/data/formal_outputs/2_2_version_228/reports/recovery/short/9/9_5/attempt_1,/data/rchu/PaperPacket/project_storage/Ordracir_2_2/data/formal_outputs/2_2_version_228/logs/recovery/short/9/9_5/attempt_1.log
short,9,9_6,1,8,3,0,True,,2026-07-22T18:59:03.818460+00:00,2026-07-22T19:00:18.984928+00:00,/data/rchu/PaperPacket/project_storage/Ordracir_2_2/data/formal_outputs/2_2_version_228/reports/recovery/short/9/9_6/attempt_1,/data/rchu/PaperPacket/project_storage/Ordracir_2_2/data/formal_outputs/2_2_version_228/logs/recovery/short/9/9_6/attempt_1.log
