horizon,group,paper_id,source_pdf,source_sha256,output_json,output_sha256,schema_version,packet_status,quality_score,precision,recall,source_chunks,selected_chunks,delivery_phase,recovery_attempt,model,report_record
long,4,4_7,data/formal_corpus/long/4/4_7.pdf,d571eb9a31be7fd3cbe847df2d0e976114baaf5f83ed4cd9a8cde89fe5574caf,data/formal_outputs/2_2_version_228/long/4/4_7.json,5daae59cdcf588876a753abe2d34ac5ee85f3e3b4dbcc8a85117d556c92a84b9,2.2,accepted,1.0,1.0,1.0,21,4,initial,,deepseek-v4-pro,data/formal_outputs/2_2_version_228/reports/long/4/papers.jsonl
long,4,4_8,data/formal_corpus/long/4/4_8.pdf,2faefb20ab47ec84cfffb2af7507e6aac04692f21f6046ba4a5e15df12abb171,data/formal_outputs/2_2_version_228/long/4/4_8.json,b5bb1c5691542e93d40e563d2a2365f38182d741120b01462c8d26a39802035f,2.2,accepted,1.0,1.0,1.0,72,4,initial,,deepseek-v4-pro,data/formal_outputs/2_2_version_228/reports/long/4/papers.jsonl
long,4,4_9,data/formal_corpus/long/4/4_9.pdf,a181a9306fdf083687c96316470b038a864f9b681e9497080168b4944ec77c96,data/formal_outputs/2_2_version_228/long/4/4_9.json,76b0d3c2930e067573d12a55b9b9d848cce943a990d96d0eb568698aeeb82a47,2.2,accepted,1.0,1.0,1.0,24,4,initial,,deepseek-v4-pro,data/formal_outputs/2_2_version_228/reports/long/4/papers.jsonl
long,4,4_10,data/formal_corpus/long/4/4_10.pdf,263ab3eef257e4032011eff140a15daeb5c12c3e6eea7343474827f28ba9382e,data/formal_outputs/2_2_version_228/long/4/4_10.json,d9aa7b7b158ddd462a1447de6fb153de1203b662455760ef70b85775fdc7658b,2.2,accepted,1.0,1.0,1.0,50,4,initial,,deepseek-v4-pro,data/formal_outputs/2_2_version_228/reports/long/4/papers.jsonl
long,4,4_11,data/formal_corpus/long/4/4_11.pdf,c5c9c23cd549a8c25cc4b906727a7df3cd4789d0d3e6d90d5c1552d3a218534c,data/formal_outputs/2_2_version_228/long/4/4_11.json,153f5bd556274df64074282e99651530ed1cbc501e9a1fe9434b2ca8f6ceed9f,2.2,accepted,1.0,1.0,1.0,5,4,initial,,deepseek-v4-pro,data/formal_outputs/2_2_version_228/reports/long/4/papers.jsonl
long,4,4_12,data/formal_corpus/long/4/4_12.pdf,f73f04294e86d83d90affb52e530fa8ad4ad8c08d6883e371aeeef4d6b427cee,data/formal_outputs/2_2_version_228/long/4/4_12.json,938fcc806c5e3ef312707bcd86a432329b11ecd899dd05d619dd5decc77f1ddc,2.2,accepted,1.0,1.0,1.0,8,4,initial,,deepseek-v4-pro,data/formal_outputs/2_2_version_228/reports/long/4/papers.jsonl
long,4,4_13,data/formal_corpus/long/4/4_13.pdf,050ea0e65647394f5d75fdf021f001194f04372aece98206a1cd80f17d533a00,data/formal_outputs/2_2_version_228/long/4/4_13.json,75a0b196f4af88ce7603ef884cfb1ba574a0a60bcc19a731a5f903a0d041c378,2.2,accepted,1.0,1.0,1.0,6,4,initial,,deepseek-v4-pro,data/formal_outputs/2_2_version_228/reports/long/4/papers.jsonl
long,4,4_14,data/formal_corpus/long/4/4_14.pdf,4ad3e552c1a534af02e4aecca2ea8f37a38df55046be262866d92685bd550c14,data/formal_outputs/2_2_version_228/long/4/4_14.json,2ef5afb2b09674975799eb88019661d99eadbdb3b840f5057f896b61423752d2,2.2,accepted,1.0,1.0,1.0,34,4,initial,,deepseek-v4-pro,data/formal_outputs/2_2_version_228/reports/long/4/papers.jsonl
long,4,4_15,data/formal_corpus/long/4/4_15.pdf,9fd5730a49b47dae4776bc55b85e3e249f5f9daeb3033b6591c477f29bd7af4d,data/formal_outputs/2_2_version_228/long/4/4_15.json,aa6c4d88378fcaf9dbf0bcc2254bab65eda75705ec69eb39765dd7a72b12325a,2.2,accepted,0.8451,0.9677,0.75,26,4,initial,,deepseek-v4-pro,data/formal_outputs/2_2_version_228/reports/long/4/papers.jsonl
long,4,4_16,data/formal_corpus/long/4/4_16.pdf,7ba071c3c49363828e1a7a76caf2e6b701b76972d4a93001ed0d1a8d5eeae380,data/formal_outputs/2_2_version_228/long/4/4_16.json,bd8b66dd01d0a97414104be68a5a670f157f3ab4297a5471f00e7f6f6bb6b8b0,2.2,accepted,1.0,1.0,1.0,23,4,initial,,deepseek-v4-pro,data/formal_outputs/2_2_version_228/reports/long/4/papers.jsonl
long,4,4_17,data/formal_corpus/long/4/4_17.pdf,21d1ba6bf806bed29e1ed5add84d94f062f00362b13e92e8fa5839200bcc86ae,data/formal_outputs/2_2_version_228/long/4/4_17.json,459557b47148783b3c1f2abeeb12c499140279aa72795c5017fdce57f3fc5d3d,2.2,accepted,0.9174,0.9259,0.9091,21,4,initial,,deepseek-v4-pro,data/formal_outputs/2_2_version_228/reports/long/4/papers.jsonl
long,4,4_18,data/formal_corpus/long/4/4_18.pdf,080cb51e749db8328bd0fe8cac2ab70f0e4db2d13dc54e5f3e24a2c7be984ec7,data/formal_outputs/2_2_version_228/long/4/4_18.json,31ecb16c34902b64ac55e09992004f3bd2f6a7a93506d5702084f5142bb6c8b5,2.2,accepted,1.0,1.0,1.0,35,4,initial,,deepseek-v4-pro,data/formal_outputs/2_2_version_228/reports/long/4/papers.jsonl
long,4,4_19,data/formal_corpus/long/4/4_19.pdf,d4478f9c1cbe36b6d5e99a4110e38523079dd6dd9247f8ebae2d19e12973bbe8,data/formal_outputs/2_2_version_228/long/4/4_19.json,a79685a7b1f318f8dbcef654515c35dfbb88793ca5bb89099909e1a2a0cd4f5d,2.2,accepted,1.0,1.0,1.0,38,4,initial,,deepseek-v4-pro,data/formal_outputs/2_2_version_228/reports/long/4/papers.jsonl
long,4,4_20,data/formal_corpus/long/4/4_20.pdf,42b92ef45e5b566efd4385c9ae64392d619b0b9b3d4094461ee013f5b5362a1c,data/formal_outputs/2_2_version_228/long/4/4_20.json,3d14be24adf6ed233ce2eaa955c06b709cc16d5326de8de82842bb576ac41347,2.2,accepted,0.8496,0.96,0.7619,19,4,initial,,deepseek-v4-pro,data/formal_outputs/2_2_version_228/reports/long/4/papers.jsonl
long,4,4_21,data/formal_corpus/long/4/4_21.pdf,5c201a86e049b63d83a96a86e349c1b387b61dc59851c875687be2f784ee662f,data/formal_outputs/2_2_version_228/long/4/4_21.json,6b220f7071c05db72adc33d43ea8535fe196424714c7ec49543d813240b27389,2.2,accepted,1.0,1.0,1.0,27,4,initial,,deepseek-v4-pro,data/formal_outputs/2_2_version_228/reports/long/4/papers.jsonl
